timestamp,caller,callee,imei,gateway,event,duration,sms_text,domain,label
2025-10-23 05:43:10.776800+00:00,9559447245,9939413378,350000000000112,10.0.0.40,SMS,0.0,Buy now f8f4 http://38a64.biz,d0ba4.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9223383777,9680339738,350000000000064,10.0.0.63,SMS,0.0,Buy now d0f4 http://f0c63.biz,b9e40.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9105102535,9943692602,350000000000035,10.0.0.87,SMS,0.0,Buy now db8a http://e2dcc.biz,36b31.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9358106288,9242617880,350000000000132,10.0.0.95,SMS,0.0,Buy now 15f4 http://3b73d.biz,07133.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9939413378,9379154270,350000000000130,10.0.0.57,SMS,0.0,Buy now 6bca http://a9054.biz,6e2e4.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9734482205,9978792655,350000000000122,10.0.0.16,SMS,0.0,Buy now f168 http://61c91.biz,b2257.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9717307455,9463246809,350000000000127,10.0.0.36,SMS,0.0,Buy now 6f6e http://8bd9a.biz,5f4ed.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9191248282,9712387986,350000000000037,10.0.0.0,SMS,0.0,Buy now 97ae http://0f34c.biz,d917f.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9560182438,9559447245,350000000000017,10.0.0.5,SMS,0.0,Buy now 9aa3 http://b29bb.biz,eb296.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9341487046,9271124711,350000000000042,10.0.0.32,SMS,0.0,Buy now 0c4e http://b7204.biz,ad01c.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9334741315,9213346545,350000000000196,10.0.0.45,SMS,0.0,Buy now 5a0e http://5412a.biz,6f1d0.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9555239105,9886268767,350000000000101,10.0.0.54,SMS,0.0,Buy now 45c2 http://c155b.biz,27399.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9394269855,9600205577,350000000000068,10.0.0.77,SMS,0.0,Buy now 950f http://b03ba.biz,4f89c.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9449246829,9358106288,350000000000056,10.0.0.8,SMS,0.0,Buy now 30e3 http://cf208.biz,57807.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9702712999,9498359563,350000000000115,10.0.0.84,SMS,0.0,Buy now 888d http://6f9a8.biz,20b9f.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9836089991,9326450115,350000000000031,10.0.0.31,SMS,0.0,Buy now 5238 http://1d94c.biz,36f85.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9202359806,9261939354,350000000000059,10.0.0.16,SMS,0.0,Buy now 970d http://b0aad.biz,0384b.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9870299298,9358106288,350000000000003,10.0.0.70,SMS,0.0,Buy now b5c2 http://52065.biz,df88e.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9379154270,9522867346,350000000000047,10.0.0.77,SMS,0.0,Buy now 8d85 http://73f77.biz,99949.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9117866707,9334741315,350000000000136,10.0.0.63,SMS,0.0,Buy now f03d http://123d7.biz,05652.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9466081152,9466081152,350000000000194,10.0.0.86,SMS,0.0,Buy now fa03 http://b16b5.biz,86127.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9989669429,9296484658,350000000000177,10.0.0.63,SMS,0.0,Buy now c07f http://e5456.biz,165ae.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9506249603,9523854650,350000000000020,10.0.0.0,SMS,0.0,Buy now 9612 http://66eb3.biz,67a2f.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9943692602,9524646576,350000000000048,10.0.0.1,SMS,0.0,Buy now a026 http://abd96.biz,ff6ab.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9728276258,9248378091,350000000000143,10.0.0.67,SMS,0.0,Buy now 674c http://9f211.biz,ea5fd.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9886268767,9550688676,350000000000109,10.0.0.74,SMS,0.0,Buy now 5956 http://5464d.biz,8d983.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9310529354,9475927094,350000000000097,10.0.0.5,SMS,0.0,Buy now 95be http://e2a02.biz,63f88.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9473726000,9420335409,350000000000188,10.0.0.75,SMS,0.0,Buy now 21dd http://c9d63.biz,ad4b8.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9481243390,9191248282,350000000000070,10.0.0.27,SMS,0.0,Buy now 864f http://82dc2.biz,4fcfd.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9380615149,9211082997,350000000000168,10.0.0.87,SMS,0.0,Buy now a429 http://9a61c.biz,d696d.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9419550147,9313008540,350000000000128,10.0.0.84,SMS,0.0,,,normal
2025-10-23 05:43:10.776800+00:00,9663486754,9549856901,350000000000161,10.0.0.94,SMS,0.0,Buy now fcff http://784b9.biz,d886e.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9481869985,9696563108,350000000000082,10.0.0.14,SMS,0.0,Buy now 6bec http://93702.biz,880ec.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9604500539,9474034370,350000000000142,10.0.0.27,SMS,0.0,Buy now 89db http://9338b.biz,1eee3.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9998326960,9603788661,350000000000138,10.0.0.43,SMS,0.0,Buy now 6d4c http://4b3bf.biz,cf53e.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9174745461,9651892998,350000000000052,10.0.0.17,SMS,0.0,Buy now b6ec http://77ded.biz,2ffd3.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9372228089,9555239105,350000000000072,10.0.0.12,SMS,0.0,Buy now 0025 http://0def9.biz,38617.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9824886317,9648371912,350000000000002,10.0.0.69,SMS,0.0,Buy now 52cd http://b8db5.biz,be940.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9671755794,9734482205,350000000000118,10.0.0.87,SMS,0.0,Buy now 2fa2 http://44cea.biz,db074.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9383024907,9959600985,350000000000051,10.0.0.85,SMS,0.0,Buy now 2573 http://5b0e1.biz,193c3.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9671105671,9179908359,350000000000065,10.0.0.79,SMS,0.0,Buy now a627 http://e1b8e.biz,c9910.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9696563108,9757130876,350000000000099,10.0.0.5,SMS,0.0,Buy now 9377 http://baaa4.biz,110ad.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9325881826,9707224545,350000000000190,10.0.0.75,SMS,0.0,Buy now 55d2 http://fec70.biz,7e387.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9483030434,9923727263,350000000000027,10.0.0.94,SMS,0.0,Buy now 12fd http://b63b9.biz,4c900.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9578941115,9542502614,350000000000159,10.0.0.42,SMS,0.0,Buy now 9e8e http://189ef.biz,4bd54.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9540831835,9663486754,350000000000158,10.0.0.23,SMS,0.0,Buy now a95c http://6e553.biz,222a4.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9102233270,9342882558,350000000000155,10.0.0.88,SMS,0.0,Buy now af42 http://b95e0.biz,ecdd6.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9677668151,9230414109,350000000000012,10.0.0.47,SMS,0.0,Buy now 2ed1 http://68e56.biz,b8ea9.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9248378091,9951385217,350000000000147,10.0.0.46,SMS,0.0,Buy now be40 http://a9b2a.biz,7ceed.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9930195359,9814488541,350000000000039,10.0.0.13,SMS,0.0,Buy now 08ac http://6f965.biz,6291b.biz,spam_sms
2025-10-23 05:43:10.776800+00:00,9339140481,9474034370,350000000000191,10.0.0.10,SMS,0.0,Buy now 1b2c http://59efe.biz,30112.biz,spam_sms
